ID de respuesta;Fecha de envío;Nombre de la Comunidad de Regantes (CC.RR.);Comunidad Autónoma;Provincia;Demarcación Hidrográfica;Número de comuneros;Superficie total del área de riego en Has
3;24-02-2026;AD;Región de Murcia;Ciudad Real;D.H. del Segura;235;1234
8;24-02-2026;COMUNIDAD DE REGANTES DE CABRA ;Andalucía;Córdoba;D.H. del Guadalquivir;29;499
9;24-02-2026;COMUNIDAD DE REGANTES PRIEGO DE CORDOBA;Andalucía;Córdoba;D.H. del Guadalquivir;152;484.88
10;24-02-2026;COMUNIDAD DE REGANTES TRASVASE TAJO SEGURA DE TOTANA ;Región de Murcia;Murcia;D.H. del Segura;6.211;10.766
12;24-02-2026;Cdad de regantes de crevillente ;Comunidad Valenciana;Alicante;D.H. del Segura;1700;1822
14;24-02-2026;CANAL DE VILLAGONZALO;Castilla y León;Salamanca;D.H. del Duero;1100;4700
21;24-02-2026;Canal de la Dreta del Llobregat;Cataluña;Barcelona;D.H. del Distrito de Cuenca Fluvial de Cataluña;560;1050
22;24-02-2026;COMUNIDAD DE REGANTES DEL CANAL DE LA MARGEN IZQ DEL BEMBEZAR;Andalucía;Córdoba;D.H. del Guadalquivir;180;4020
25;24-02-2026;COMUNIDAD DE RIEGOS COMARCA SANTA CRUZ DE LA PALMA BREÑAS MAZO;Islas Canarias;Santa Cruz de Tenerife;D.H. de las Islas Canarias;2105;648
26;24-02-2026;COMUNIDAD DE USUARIOS AREA BARRANCO DE AGUA SALADA;Comunidad Foral de Navarra;Navarra;D.H. del Ebro;30;670
27;24-02-2026;CUAS Lillo-Quintanar;Castilla-La Mancha;Toledo;D.H. del Guadiana;3100;15799.28
28;24-02-2026;RINCÓN DEL MORO;Castilla-La Mancha;Albacete;D.H. del Segura;69;1324
31;24-02-2026;COMUNIDAD DE REGANTES DE PLIEGO;Región de Murcia;Murcia;D.H. del Segura;1430;818
39;24-02-2026;"S.A.T. Nº 557: ""ISIDORO GARCÍA RÁEZ""";Región de Murcia;Murcia;D.H. del Segura;274;6323
40;24-02-2026;COMUNIDAD DE REGANTES DEL CAMPO DE CARTAGENA;Región de Murcia;Murcia;D.H. del Segura;9579;42023
41;24-02-2026;COMUNIDAD DE REGANTES DE TOTANA ;Región de Murcia;Murcia;D.H. del Segura;4812;10766
42;24-02-2026;CR TORREMIGUEL;Comunidad Valenciana;Alicante;D.H. del Segura;28;1300
50;24-02-2026;COMUNIDAD DE REGANTES DE LORCA;Región de Murcia;Murcia;D.H. del Segura;19000;23460.53
52;24-02-2026;CR RIEGOS LEVANTE MARGEN DERECHA DEL RIO SEGURA;Comunidad Valenciana;Alicante;D.H. del Segura;500;3.433
62;24-02-2026;COMUNIDAD DE REGANTES MARIGIMENO;Castilla-La Mancha;Albacete;D.H. del Segura;71;544
63;24-02-2026;COMUNIDAD DE REGANTES MARGEN DERECHA PILAR DE LA HORADADA;Comunidad Valenciana;Alicante;D.H. del Segura;130;2088
64;24-02-2026;Titular individual de concesión ;Región de Murcia;Murcia;D.H. del Segura;1;8
65;24-02-2026;COMUNIDAD DE REGANTES DE ALBATERA;Comunidad Valenciana;Alicante;D.H. del Segura;1500;3000
70;24-02-2026;COMUNIDAD DE REGANTES MURADA NORTE;Comunidad Valenciana;Alicante;D.H. del Segura;120;992
72;24-02-2026;JUZGADO PRIVATIVO DE AGUAS DE ROJALES (ALICANTE);Comunidad Valenciana;Alicante;D.H. del Segura;587;590
74;24-02-2026;Comunidad de Regantes de Mazarrón;Región de Murcia;Murcia;D.H. del Segura;960;4802
75;24-02-2026;HEREDAMIENTO DE AGUAS DE ALGUAZAS;Región de Murcia;Murcia;D.H. del Segura;3;1.3
76;24-02-2026;"Comunidad de Regantes ""Arco Sur Mar Menor""";Región de Murcia;Murcia;D.H. del Segura;80;1528
80;24-02-2026;COMUNIDAD DE REGANTES EL PORVENIR;Región de Murcia;Murcia;D.H. del Segura;1112;1850
81;24-02-2026;POZO SAN MANUEL;Región de Murcia;Murcia;D.H. del Segura;257;278
82;24-02-2026;Comunidad de regantes el mojón ;Comunidad Valenciana;Alicante;D.H. del Tajo;100;314
86;24-02-2026;CR El Acueducto ;Región de Murcia;Murcia;D.H. del Segura;90;470
87;24-02-2026;CRfuensantadejacarilla;Comunidad Valenciana;Alicante;D.H. del Segura;200;700
88;24-02-2026;COMUNIDAD DE REGANTES SINDICATO DE RIEGOS DE CUEVAS DEL ALMANZORA;Andalucía;Almería;D.H. de las Cuencas Mediterráneas Andaluzas;1800;5400
90;24-02-2026;COMUNIDAD DE REGANTES EL VILLAR;Andalucía;Sevilla;D.H. del Guadalquivir;700;2726
91;24-02-2026;SINDICATO GENERAL DE AGUAS DE ALICANTE;Comunidad Valenciana;Alicante;D.H. del Segura;721;697.5
94;24-02-2026;COMUNIDAD DE REGANTES EL PORVENIR;Región de Murcia;Murcia;D.H. del Segura;1084;1850
95;24-02-2026;Las Cañadas;Comunidad Valenciana;Alicante;D.H. del Segura;8;120
97;24-02-2026;COMUNIDAD DE REGANTES MURADA NORTE;Comunidad Valenciana;Alicante;D.H. del Segura;120;992
98;24-02-2026;CCRR del Azarbe del Merancho;Región de Murcia;;D.H. del Segura;900;1438
