"ID de respuesta","Fecha de envío","1. Nombre de la Comunidad de Regantes (CC.RR.):  ","P2. CC.AA.: ","2. Provincia: ","3. Demarcación Hidrográfica: ","4. Número de comuneros:","5. Superficie total del área de riego en Has.: "
"3","1980-01-01 00:00:00","AD","Región de Murcia","Ciudad Real","D.H. del Segura","235","1234"
"8","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE CABRA ","Andalucía","Córdoba","D.H. del Guadalquivir","29","499"
"9","1980-01-01 00:00:00","COMUNIDAD DE REGANTES PRIEGO DE CORDOBA","Andalucía","Córdoba","D.H. del Guadalquivir","152","484.88"
"10","1980-01-01 00:00:00","COMUNIDAD DE REGANTES TRASVASE TAJO SEGURA DE TOTANA ","Región de Murcia","Murcia","D.H. del Segura","6.211","10.766"
"12","1980-01-01 00:00:00","Cdad de regantes de crevillente ","Comunidad Valenciana","Alicante","D.H. del Segura","1700","1822"
"14","1980-01-01 00:00:00","CANAL DE VILLAGONZALO","Castilla y León","Salamanca","D.H. del Duero","1100","4700"
"21","1980-01-01 00:00:00","Canal de la Dreta del Llobregat","Cataluña","Barcelona","D.H. del Distrito de Cuenca Fluvial de Cataluña","560","1050"
"22","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DEL CANAL DE LA MARGEN IZQ DEL BEMBEZAR","Andalucía","Córdoba","D.H. del Guadalquivir","180","4020"
"25","1980-01-01 00:00:00","COMUNIDAD DE RIEGOS COMARCA SANTA CRUZ DE LA PALMA BREÑAS MAZO","Islas Canarias","Santa Cruz de Tenerife","D.H. de las Islas Canarias","2105","648"
"26","1980-01-01 00:00:00","COMUNIDAD DE USUARIOS AREA BARRANCO DE AGUA SALADA","Comunidad Foral de Navarra","Navarra","D.H. del Ebro","30","670"
"27","1980-01-01 00:00:00","CUAS Lillo-Quintanar","Castilla-La Mancha","Toledo","D.H. del Guadiana","3100","15799.28"
"28","1980-01-01 00:00:00","RINCÓN DEL MORO","Castilla-La Mancha","Albacete","D.H. del Segura","69","1324"
"31","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE PLIEGO","Región de Murcia","Murcia","D.H. del Segura","1430","818"
"39","1980-01-01 00:00:00","S.A.T. Nº 557: ""ISIDORO GARCÍA RÁEZ""","Región de Murcia","Murcia","D.H. del Segura","274","6323"
"40","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DEL CAMPO DE CARTAGENA","Región de Murcia","Murcia","D.H. del Segura","9579","42023"
"41","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE TOTANA ","Región de Murcia","Murcia","D.H. del Segura","4812","10766"
"42","1980-01-01 00:00:00","CR TORREMIGUEL","Comunidad Valenciana","Alicante","D.H. del Segura","28","1300"
"50","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE LORCA","Región de Murcia","Murcia","D.H. del Segura","19000","23460.53"
"52","1980-01-01 00:00:00","CR RIEGOS LEVANTE MARGEN DERECHA DEL RIO SEGURA","Comunidad Valenciana","Alicante","D.H. del Segura","500","3.433"
"62","1980-01-01 00:00:00","COMUNIDAD DE REGANTES MARIGIMENO","Castilla-La Mancha","Albacete","D.H. del Segura","71","544"
"63","1980-01-01 00:00:00","COMUNIDAD DE REGANTES MARGEN DERECHA PILAR DE LA HORADADA","Comunidad Valenciana","Alicante","D.H. del Segura","130","2088"
"64","1980-01-01 00:00:00","Titular individual de concesión ","Región de Murcia","Murcia","D.H. del Segura","1","8"
"65","1980-01-01 00:00:00","COMUNIDAD DE REGANTES DE ALBATERA","Comunidad Valenciana","Alicante","D.H. del Segura","1500","3000"
"70","1980-01-01 00:00:00","COMUNIDAD DE REGANTES MURADA NORTE","Comunidad Valenciana","Alicante","D.H. del Segura","120","992"
"72","1980-01-01 00:00:00","JUZGADO PRIVATIVO DE AGUAS DE ROJALES (ALICANTE)","Comunidad Valenciana","Alicante","D.H. del Segura","587","590"
"74","1980-01-01 00:00:00","Comunidad de Regantes de Mazarrón","Región de Murcia","Murcia","D.H. del Segura","960","4802"
"75","1980-01-01 00:00:00","HEREDAMIENTO DE AGUAS DE ALGUAZAS","Región de Murcia","Murcia","D.H. del Segura","3","1.3"
"76","1980-01-01 00:00:00","Comunidad de Regantes ""Arco Sur Mar Menor""","Región de Murcia","Murcia","D.H. del Segura","80","1528"
"80","1980-01-01 00:00:00","COMUNIDAD DE REGANTES EL PORVENIR","Región de Murcia","Murcia","D.H. del Segura","1112","1850"
"81","1980-01-01 00:00:00","POZO SAN MANUEL","Región de Murcia","Murcia","D.H. del Segura","257","278"
"82","1980-01-01 00:00:00","Comunidad de regantes el mojón ","Comunidad Valenciana","Alicante","D.H. del Tajo","100","314"
